Entry,n_residues,ss_counts
B0R858,165,"{'L': 80, 'E': 72, 'H': 13}"
Q743F4,354,"{'L': 176, 'E': 78, 'H': 100}"
Q9VEG6,809,"{'L': 439, 'H': 289, 'E': 81}"
Q23490,724,"{'L': 386, 'H': 275, 'E': 63}"
Q7QH73,767,"{'L': 401, 'H': 290, 'E': 76}"
Q20616,655,"{'L': 351, 'H': 247, 'E': 57}"
Q13BB8,311,"{'L': 110, 'H': 158, 'E': 43}"
O31465,327,"{'L': 128, 'H': 158, 'E': 41}"
P77454,310,"{'L': 113, 'H': 156, 'E': 41}"
Q19013,605,"{'L': 258, 'H': 291, 'E': 56}"
Q1I8G2,306,"{'L': 107, 'H': 157, 'E': 42}"
O59952,291,"{'L': 138, 'E': 63, 'H': 90}"
I1RFN8,636,"{'L': 420, 'E': 107, 'H': 109}"
Q9QZH8,398,"{'L': 151, 'H': 189, 'E': 58}"
O14115,630,"{'L': 242, 'H': 341, 'E': 47}"
Q4PHZ2,517,"{'L': 269, 'H': 160, 'E': 88}"
Q9FJ73,343,"{'L': 79, 'H': 262, 'E': 2}"
Q3ED15,337,"{'L': 77, 'H': 258, 'E': 2}"
Q9FJ78,339,"{'L': 76, 'H': 261, 'E': 2}"
Q9FJ72,341,"{'L': 87, 'H': 252, 'E': 2}"
Q9FJ76,333,"{'L': 75, 'H': 256, 'E': 2}"
A0A0K3AUJ9,201,"{'L': 86, 'E': 53, 'H': 62}"
Q8SS85,177,"{'L': 81, 'E': 45, 'H': 51}"
Q91191,200,"{'L': 92, 'E': 47, 'H': 61}"
Q9V3P0,194,"{'L': 88, 'E': 47, 'H': 59}"
Q9ZUI0,980,"{'L': 490, 'H': 299, 'E': 191}"
P34208,496,"{'L': 236, 'E': 92, 'H': 168}"
Q9TZM3,2393,"{'L': 1206, 'H': 725, 'E': 462}"
Q9STF0,337,"{'L': 141, 'H': 151, 'E': 45}"
Q0KHV6,721,"{'L': 338, 'H': 314, 'E': 69}"
P63493,462,"{'L': 201, 'H': 196, 'E': 65}"
Q9URY4,583,"{'L': 301, 'H': 203, 'E': 79}"
Q55424,506,"{'L': 227, 'H': 213, 'E': 66}"
P9WEP6,521,"{'L': 229, 'H': 222, 'E': 70}"
Q9L543,348,"{'L': 157, 'E': 80, 'H': 111}"
P36912,335,"{'L': 183, 'H': 104, 'E': 48}"
P36911,339,"{'L': 173, 'H': 96, 'E': 70}"
B7GPC7,545,"{'L': 279, 'E': 49, 'H': 217}"
Q99Y92,995,"{'L': 499, 'H': 301, 'E': 195}"
P36913,329,"{'L': 184, 'E': 44, 'H': 101}"
A5ULG2,289,"{'L': 102, 'E': 75, 'H': 112}"
Q12XK2,287,"{'L': 100, 'E': 78, 'H': 109}"
A4FZL8,283,"{'L': 101, 'E': 79, 'H': 103}"
Q0W4U0,290,"{'L': 104, 'E': 72, 'H': 114}"
O29730,280,"{'L': 104, 'E': 75, 'H': 101}"
I3R7F2,88,"{'L': 33, 'H': 55}"
I3R7F1,516,"{'L': 191, 'H': 231, 'E': 94}"
Q06101,476,"{'L': 183, 'H': 202, 'E': 91}"
P54541,507,"{'L': 188, 'H': 226, 'E': 93}"
P53003,546,"{'L': 204, 'E': 96, 'H': 246}"
B3EU20,281,"{'L': 116, 'H': 111, 'E': 54}"
Q6MEK6,305,"{'L': 149, 'E': 54, 'H': 102}"
A7M907,491,"{'L': 205, 'H': 216, 'E': 70}"
Q3A6L1,282,"{'L': 126, 'E': 55, 'H': 101}"
Q0VPJ1,293,"{'L': 129, 'H': 110, 'E': 54}"
P43957,244,"{'L': 101, 'H': 85, 'E': 58}"
Q823P5,264,"{'L': 86, 'H': 178}"
Q57095,210,"{'L': 45, 'H': 159, 'E': 6}"
Q9ZC45,199,"{'L': 50, 'H': 149}"
Q604Z9,202,"{'L': 44, 'H': 158}"
P77580,316,"{'L': 103, 'E': 82, 'H': 131}"
C1AVG3,292,"{'L': 104, 'E': 71, 'H': 117}"
A8LAA2,324,"{'L': 114, 'E': 72, 'H': 138}"
B1MJT8,311,"{'L': 114, 'E': 66, 'H': 131}"
A1TDB8,318,"{'L': 115, 'E': 73, 'H': 130}"
P11663,169,"{'L': 51, 'H': 118}"
Q4QAU9,549,"{'L': 230, 'E': 145, 'H': 174}"
E9AE57,568,"{'L': 243, 'H': 183, 'E': 142}"
P0A1T4,70,"{'L': 21, 'H': 49}"
Q04718,514,"{'L': 202, 'H': 186, 'E': 126}"
P41606,1224,"{'L': 721, 'H': 328, 'E': 175}"
Q0SS74,70,"{'L': 40, 'H': 30}"
P04051,1460,"{'L': 642, 'E': 186, 'H': 632}"
P69242,977,"{'L': 377, 'H': 513, 'E': 87}"
A1KCL2,71,"{'L': 31, 'H': 40}"
B5YH69,222,"{'L': 73, 'E': 34, 'H': 115}"
B3QSU1,235,"{'L': 79, 'E': 35, 'H': 121}"
Q9EWW6,231,"{'L': 86, 'E': 35, 'H': 110}"
A8LSF1,212,"{'L': 71, 'E': 24, 'H': 117}"
Q1IW70,209,"{'L': 64, 'E': 39, 'H': 106}"
Q9GP32,363,"{'L': 142, 'H': 167, 'E': 54}"
P22197,358,"{'L': 136, 'H': 168, 'E': 54}"
P0A991,350,"{'L': 129, 'H': 167, 'E': 54}"
A5IW31,296,"{'L': 106, 'H': 134, 'E': 56}"
Q9SJU4,399,"{'L': 179, 'H': 166, 'E': 54}"
Q7MQ88,179,"{'L': 73, 'H': 43, 'E': 63}"
Q0K6Y1,220,"{'L': 114, 'E': 60, 'H': 46}"
Q0VTA8,204,"{'L': 70, 'H': 71, 'E': 63}"
A1T086,186,"{'L': 84, 'E': 60, 'H': 42}"
Q8ZJ20,174,"{'L': 74, 'E': 61, 'H': 39}"
Q99638,391,"{'L': 222, 'E': 107, 'H': 62}"
G5EC44,267,"{'L': 104, 'E': 121, 'H': 42}"
P14746,463,"{'L': 288, 'E': 123, 'H': 52}"
Q91XB0,314,"{'L': 172, 'E': 35, 'H': 107}"
Q9BG99,315,"{'L': 164, 'E': 37, 'H': 114}"
O74339,393,"{'L': 142, 'E': 43, 'H': 208}"
P53230,385,"{'L': 147, 'H': 207, 'E': 31}"
Q8INF2,342,"{'L': 109, 'H': 186, 'E': 47}"
Q3B7H2,338,"{'L': 100, 'H': 195, 'E': 43}"
Q550P4,427,"{'L': 152, 'H': 216, 'E': 59}"
P44569,603,"{'L': 249, 'E': 174, 'H': 180}"
P29240,577,"{'L': 290, 'E': 141, 'H': 146}"
Q91YE9,573,"{'L': 347, 'H': 173, 'E': 53}"
O83142,593,"{'L': 234, 'E': 168, 'H': 191}"
Q9I767,221,"{'L': 79, 'E': 34, 'H': 108}"
P54665,345,"{'L': 168, 'H': 130, 'E': 47}"
P97377,346,"{'L': 175, 'E': 46, 'H': 125}"
Q09437,719,"{'L': 417, 'H': 255, 'E': 47}"
P36615,306,"{'L': 144, 'H': 113, 'E': 49}"
O35831,523,"{'L': 318, 'H': 158, 'E': 47}"
Q1LTP2,566,"{'L': 264, 'H': 197, 'E': 105}"
Q8KQT8,568,"{'L': 277, 'H': 186, 'E': 105}"
Q1D9W9,562,"{'L': 250, 'H': 206, 'E': 106}"
Q9JS33,589,"{'L': 276, 'H': 210, 'E': 103}"
B5EQW2,563,"{'L': 244, 'H': 215, 'E': 104}"
O05755,79,"{'L': 31, 'E': 25, 'H': 23}"
Q58988,83,"{'L': 31, 'E': 26, 'H': 26}"
O28338,80,"{'L': 32, 'E': 22, 'H': 26}"
O26271,84,"{'L': 30, 'E': 28, 'H': 26}"
Q9X0X1,82,"{'L': 29, 'E': 27, 'H': 26}"
P20605,200,"{'L': 85, 'E': 12, 'H': 103}"
Q57877,93,"{'L': 28, 'H': 46, 'E': 19}"
A0A0B0QJN8,150,"{'L': 43, 'H': 85, 'E': 22}"
Q6G2A9,544,"{'L': 174, 'E': 43, 'H': 327}"
Q87P32,387,"{'L': 122, 'E': 19, 'H': 246}"
P56072,455,"{'L': 150, 'H': 257, 'E': 48}"
P66774,461,"{'L': 159, 'H': 259, 'E': 43}"
O34635,220,"{'L': 84, 'H': 68, 'E': 68}"
P30744,455,"{'L': 156, 'H': 248, 'E': 51}"
O86564,455,"{'L': 159, 'H': 249, 'E': 47}"
O09159,1013,"{'L': 484, 'H': 232, 'E': 297}"
Q9UT61,1077,"{'L': 454, 'H': 298, 'E': 325}"
P94078,1019,"{'L': 460, 'H': 265, 'E': 294}"
Q54YF7,1035,"{'L': 478, 'H': 267, 'E': 290}"
Q8LPJ3,1024,"{'L': 470, 'H': 259, 'E': 295}"
A4SV64,209,"{'L': 50, 'H': 159}"
A1K973,206,"{'L': 49, 'H': 157}"
C1D7C0,206,"{'L': 48, 'H': 158}"
C1DHY3,215,"{'L': 53, 'H': 162}"
Q12FJ1,209,"{'L': 47, 'H': 162}"
Q9SRQ7,538,"{'L': 295, 'E': 61, 'H': 182}"
P59026,399,"{'L': 150, 'H': 184, 'E': 65}"
P33378,289,"{'L': 134, 'E': 4, 'H': 151}"
P09598,283,"{'L': 120, 'E': 4, 'H': 159}"
P0C216,398,"{'L': 151, 'H': 185, 'E': 62}"
P42681,527,"{'L': 281, 'E': 109, 'H': 137}"
A8DZJ1,1441,"{'L': 767, 'E': 82, 'H': 592}"
Q04663,232,"{'L': 90, 'E': 45, 'H': 97}"
Q504Y2,493,"{'L': 228, 'H': 171, 'E': 94}"
Q03526,625,"{'L': 307, 'E': 156, 'H': 162}"
Q8U1L4,345,"{'L': 103, 'H': 162, 'E': 80}"
Q26061,181,"{'L': 54, 'H': 127}"
P9WMK7,216,"{'L': 150, 'H': 39, 'E': 27}"
P49944,161,"{'L': 37, 'H': 124}"
A0PYW1,241,"{'L': 104, 'E': 47, 'H': 90}"
Q8REG1,274,"{'L': 115, 'E': 44, 'H': 115}"
Q5WHY0,247,"{'L': 105, 'E': 47, 'H': 95}"
A2RDX6,249,"{'L': 118, 'E': 49, 'H': 82}"
A6LHV2,270,"{'L': 112, 'E': 47, 'H': 111}"
Q4ZWR7,146,"{'L': 54, 'E': 59, 'H': 33}"
Q0STU4,139,"{'L': 53, 'E': 54, 'H': 32}"
Q98MC5,152,"{'L': 64, 'E': 58, 'H': 30}"
A5I7X1,144,"{'L': 60, 'E': 53, 'H': 31}"
B0U238,160,"{'L': 69, 'E': 57, 'H': 34}"
Q9RXT9,286,"{'L': 145, 'E': 46, 'H': 95}"
P91247,277,"{'L': 135, 'E': 40, 'H': 102}"
Q10215,142,"{'L': 71, 'E': 19, 'H': 52}"
P71121,301,"{'L': 165, 'H': 92, 'E': 44}"
Q08742,149,"{'L': 82, 'E': 19, 'H': 48}"
P26405,477,"{'L': 190, 'E': 110, 'H': 177}"
Q06951,463,"{'L': 163, 'E': 107, 'H': 193}"
P37755,456,"{'L': 170, 'E': 104, 'H': 182}"
P47299,550,"{'L': 202, 'H': 231, 'E': 117}"
P47723,544,"{'L': 209, 'H': 217, 'E': 118}"
Q0W5A6,359,"{'L': 156, 'E': 87, 'H': 116}"
D2S1F7,356,"{'L': 152, 'E': 90, 'H': 114}"
Q97UH6,368,"{'L': 156, 'E': 89, 'H': 123}"
Q9HS17,356,"{'L': 152, 'E': 93, 'H': 111}"
Q7LYI9,366,"{'L': 152, 'E': 92, 'H': 122}"
R1F493,383,"{'L': 193, 'H': 151, 'E': 39}"
P0DN21,351,"{'L': 158, 'H': 151, 'E': 42}"
P0DN22,301,"{'L': 147, 'H': 116, 'E': 38}"
R1ERP2,532,"{'L': 200, 'H': 246, 'E': 86}"
P0DN23,353,"{'L': 165, 'H': 147, 'E': 41}"
Q67472,214,"{'L': 105, 'E': 47, 'H': 62}"
P25265,354,"{'L': 165, 'E': 54, 'H': 135}"
P31033,312,"{'L': 140, 'E': 56, 'H': 116}"
P0AED9,472,"{'L': 209, 'H': 212, 'E': 51}"
P25283,358,"{'L': 182, 'E': 66, 'H': 110}"
Q8GXJ1,552,"{'L': 280, 'H': 210, 'E': 62}"
Q8H0W2,426,"{'L': 216, 'E': 50, 'H': 160}"
Q8RX28,660,"{'L': 327, 'E': 105, 'H': 228}"
Q94EJ2,377,"{'L': 166, 'E': 64, 'H': 147}"
Q5A960,833,"{'L': 466, 'E': 102, 'H': 265}"
Q5JJ82,384,"{'L': 152, 'H': 165, 'E': 67}"
E9FCP7,501,"{'L': 195, 'H': 240, 'E': 66}"
O28275,367,"{'L': 146, 'H': 157, 'E': 64}"
Q3IT46,350,"{'L': 151, 'H': 140, 'E': 59}"
B0R349,355,"{'L': 160, 'E': 59, 'H': 136}"
C7FF04,576,"{'L': 285, 'E': 91, 'H': 200}"
P33180,494,"{'L': 238, 'H': 183, 'E': 73}"
P55022,276,"{'L': 150, 'E': 18, 'H': 108}"
Q92396,574,"{'L': 300, 'E': 55, 'H': 219}"
C7FF05,611,"{'L': 322, 'E': 103, 'H': 186}"
O34349,203,"{'L': 42, 'H': 161}"
A0A2K3DU55,269,"{'L': 132, 'H': 109, 'E': 28}"
P38812,185,"{'L': 72, 'H': 91, 'E': 22}"
Q9LXR9,348,"{'L': 204, 'H': 116, 'E': 28}"
P0AD42,211,"{'L': 62, 'E': 46, 'H': 103}"
Q6NL24,265,"{'L': 89, 'E': 44, 'H': 132}"
Q1ZXF1,277,"{'L': 96, 'E': 48, 'H': 133}"
P76082,255,"{'L': 82, 'E': 44, 'H': 129}"
G4V4T7,265,"{'L': 97, 'E': 45, 'H': 123}"
Q52995,257,"{'L': 84, 'E': 46, 'H': 127}"
P26281,159,"{'L': 70, 'E': 41, 'H': 48}"
P71512,158,"{'L': 69, 'E': 43, 'H': 46}"
O66550,160,"{'L': 72, 'E': 44, 'H': 44}"
Q9HV71,162,"{'L': 73, 'E': 44, 'H': 45}"
P64144,188,"{'L': 79, 'E': 56, 'H': 53}"
Q93YN0,187,"{'L': 145, 'H': 20, 'E': 22}"
Q8GSJ6,154,"{'L': 96, 'H': 38, 'E': 20}"
A1A6M1,387,"{'L': 234, 'H': 135, 'E': 18}"
Q6UXH1,353,"{'L': 191, 'H': 78, 'E': 84}"
Q19267,356,"{'L': 147, 'H': 151, 'E': 58}"
B2THT3,258,"{'L': 92, 'H': 123, 'E': 43}"
Q5WEL9,276,"{'L': 100, 'E': 48, 'H': 128}"
P57887,269,"{'L': 100, 'E': 47, 'H': 122}"
P59574,263,"{'L': 90, 'E': 52, 'H': 121}"
Q888B8,275,"{'L': 101, 'E': 44, 'H': 130}"
Q2FUB7,280,"{'L': 120, 'E': 45, 'H': 115}"
O07641,327,"{'L': 161, 'E': 43, 'H': 123}"
O26739,265,"{'L': 118, 'E': 42, 'H': 105}"
C6BX34,275,"{'L': 111, 'E': 44, 'H': 120}"
P08625,292,"{'L': 114, 'E': 43, 'H': 135}"
Q0RDN6,94,"{'L': 34, 'E': 37, 'H': 23}"
Q985C8,94,"{'L': 33, 'E': 37, 'H': 24}"
A1S579,91,"{'L': 32, 'E': 34, 'H': 25}"
Q6L2I0,81,"{'L': 27, 'E': 28, 'H': 26}"
Q89JL8,99,"{'L': 37, 'E': 34, 'H': 28}"
P23665,453,"{'L': 227, 'H': 196, 'E': 30}"
P23659,986,"{'L': 468, 'H': 253, 'E': 265}"
P22699,705,"{'L': 395, 'H': 215, 'E': 95}"
Q5BEI9,434,"{'L': 305, 'E': 76, 'H': 53}"
A0A4P8PKE4,232,"{'L': 159, 'E': 70, 'H': 3}"
P97687,511,"{'L': 181, 'H': 235, 'E': 95}"
P40009,630,"{'L': 291, 'E': 106, 'H': 233}"
O75355,529,"{'L': 185, 'H': 236, 'E': 108}"
Q8K0L2,497,"{'L': 168, 'H': 215, 'E': 114}"
Q9USP2,572,"{'L': 236, 'E': 107, 'H': 229}"
P39010,764,"{'L': 362, 'H': 369, 'E': 33}"
Q6FJ70,763,"{'L': 376, 'H': 355, 'E': 32}"
Q875M2,752,"{'L': 334, 'H': 384, 'E': 34}"
Q5AL27,813,"{'L': 408, 'H': 374, 'E': 31}"
Q6FMP5,352,"{'L': 131, 'H': 179, 'E': 42}"
Q3UMC0,893,"{'L': 438, 'E': 141, 'H': 314}"
Q0VA52,593,"{'L': 247, 'E': 105, 'H': 241}"
A7YSY2,767,"{'L': 323, 'E': 131, 'H': 313}"
Q21222,724,"{'L': 303, 'E': 136, 'H': 285}"
P32794,780,"{'L': 346, 'E': 131, 'H': 303}"
Q6PFJ7,791,"{'L': 323, 'H': 446, 'E': 22}"
Q9NXE4,866,"{'L': 385, 'H': 455, 'E': 26}"
Q9UAY4,589,"{'L': 286, 'H': 221, 'E': 82}"
Q6UWV6,458,"{'L': 258, 'E': 80, 'H': 120}"
Q10916,564,"{'L': 263, 'H': 224, 'E': 77}"
P0A935,365,"{'L': 177, 'E': 96, 'H': 92}"
Q89AM2,212,"{'L': 47, 'H': 160, 'E': 5}"
P41052,361,"{'L': 174, 'H': 158, 'E': 29}"
Q8K9A7,366,"{'L': 160, 'H': 115, 'E': 91}"
Q9C168,736,"{'L': 364, 'H': 250, 'E': 122}"
Q9I1W8,709,"{'L': 362, 'H': 237, 'E': 110}"
Q59337,536,"{'L': 297, 'E': 85, 'H': 154}"
Q9XZD5,502,"{'L': 262, 'E': 81, 'H': 159}"
Q9C169,719,"{'L': 386, 'H': 227, 'E': 106}"
B4RCU4,238,"{'L': 74, 'H': 143, 'E': 21}"
B2U981,256,"{'L': 73, 'H': 159, 'E': 24}"
P56118,239,"{'L': 67, 'E': 26, 'H': 146}"
Q1D5X9,260,"{'L': 76, 'H': 159, 'E': 25}"
A3PGF8,229,"{'L': 64, 'H': 141, 'E': 24}"
P43869,271,"{'L': 81, 'E': 37, 'H': 153}"
P0A9L8,269,"{'L': 72, 'E': 36, 'H': 161}"
P54893,261,"{'L': 72, 'E': 35, 'H': 154}"
Q9CPE8,275,"{'L': 82, 'E': 38, 'H': 155}"
Q12740,320,"{'L': 113, 'E': 46, 'H': 161}"
Q7NF35,329,"{'L': 100, 'E': 102, 'H': 127}"
Q2G5S1,325,"{'L': 110, 'E': 86, 'H': 129}"
Q1AW87,315,"{'L': 110, 'E': 81, 'H': 124}"
Q67PG0,330,"{'L': 121, 'E': 80, 'H': 129}"
Q15TZ6,319,"{'L': 102, 'E': 83, 'H': 134}"
C5DZU3,837,"{'L': 270, 'E': 73, 'H': 494}"
A5DL79,875,"{'L': 290, 'H': 521, 'E': 64}"
A8PRN6,970,"{'L': 359, 'H': 534, 'E': 77}"
Q0U2R3,932,"{'L': 365, 'E': 71, 'H': 496}"
A5DS78,883,"{'L': 291, 'H': 532, 'E': 60}"
P87242,198,"{'L': 56, 'H': 140, 'E': 2}"
Q8DG35,179,"{'L': 37, 'H': 142}"
Q8EEA3,195,"{'L': 52, 'H': 141, 'E': 2}"
Q9CMR5,195,"{'L': 50, 'H': 143, 'E': 2}"
Q1LUI2,200,"{'L': 59, 'H': 139, 'E': 2}"
Q5U3W0,309,"{'L': 135, 'H': 106, 'E': 68}"
Q6C195,193,"{'L': 62, 'E': 39, 'H': 92}"
Q28FE0,311,"{'L': 134, 'H': 110, 'E': 67}"
Q93YS2,528,"{'L': 195, 'H': 236, 'E': 97}"
P36982,406,"{'L': 151, 'E': 95, 'H': 160}"
Q6BRU4,304,"{'L': 116, 'H': 98, 'E': 90}"
Q2G469,223,"{'L': 73, 'E': 66, 'H': 84}"
A0KWB6,299,"{'L': 115, 'E': 90, 'H': 94}"
Q75AK8,297,"{'L': 105, 'H': 103, 'E': 89}"
Q9RH04,222,"{'L': 80, 'E': 66, 'H': 76}"
Q8EBF9,523,"{'L': 204, 'H': 254, 'E': 65}"
Q0VSY7,525,"{'L': 192, 'H': 264, 'E': 69}"
C1DJH1,530,"{'L': 189, 'H': 275, 'E': 66}"
Q72RD4,520,"{'L': 198, 'H': 259, 'E': 63}"
B8D7U0,518,"{'L': 200, 'H': 256, 'E': 62}"
Q5WCF2,107,"{'L': 48, 'E': 34, 'H': 25}"
Q6HCY5,107,"{'L': 48, 'E': 36, 'H': 23}"
A0A0H2XEA6,165,"{'L': 50, 'H': 115}"
P38049,166,"{'L': 59, 'E': 62, 'H': 45}"
A0AFT8,121,"{'L': 48, 'E': 36, 'H': 37}"
B6YRK7,323,"{'L': 141, 'E': 73, 'H': 109}"
B2AHE3,302,"{'L': 129, 'E': 75, 'H': 98}"
A4XB58,277,"{'L': 117, 'E': 70, 'H': 90}"
Q11TT6,310,"{'L': 136, 'E': 74, 'H': 100}"
A6GYJ4,316,"{'L': 142, 'E': 72, 'H': 102}"
Q9A1K3,255,"{'L': 97, 'H': 127, 'E': 31}"
Q9WZJ0,192,"{'L': 65, 'E': 17, 'H': 110}"
P44068,245,"{'L': 122, 'H': 101, 'E': 22}"
O24926,368,"{'L': 147, 'E': 78, 'H': 143}"
Q3Z8V0,182,"{'L': 62, 'E': 20, 'H': 100}"
Q9REF4,155,"{'L': 46, 'E': 31, 'H': 78}"
Q885J3,170,"{'L': 48, 'E': 28, 'H': 94}"
Q494E6,158,"{'L': 46, 'E': 32, 'H': 80}"
Q2W4S6,150,"{'L': 38, 'E': 31, 'H': 81}"
Q983B0,164,"{'L': 53, 'H': 80, 'E': 31}"
P26239,350,"{'L': 134, 'H': 164, 'E': 52}"
Q9SJE1,760,"{'L': 376, 'H': 274, 'E': 110}"
O22436,426,"{'L': 186, 'H': 188, 'E': 52}"
O07345,677,"{'L': 296, 'H': 272, 'E': 109}"
Q93SW0,620,"{'L': 252, 'H': 273, 'E': 95}"
O33836,318,"{'L': 151, 'E': 69, 'H': 98}"
P13212,354,"{'L': 186, 'E': 75, 'H': 93}"
P07902,379,"{'L': 193, 'H': 119, 'E': 67}"
P09580,370,"{'L': 179, 'E': 69, 'H': 122}"
Q9VMA2,350,"{'L': 187, 'E': 65, 'H': 98}"
Q96361,182,"{'L': 75, 'E': 45, 'H': 62}"
P26990,175,"{'L': 67, 'H': 65, 'E': 43}"
Q94231,179,"{'L': 75, 'E': 46, 'H': 58}"
Q2KI07,186,"{'L': 67, 'H': 76, 'E': 43}"
Q9H628,205,"{'L': 69, 'E': 42, 'H': 94}"
Q6ZEM6,144,"{'L': 69, 'E': 25, 'H': 50}"
P08692,141,"{'L': 67, 'E': 23, 'H': 51}"
P0CF87,104,"{'L': 53, 'E': 13, 'H': 38}"
P63621,117,"{'L': 48, 'E': 20, 'H': 49}"
P44589,116,"{'L': 42, 'E': 19, 'H': 55}"
Q336M7,583,"{'L': 290, 'E': 124, 'H': 169}"
Q7F1X5,542,"{'L': 248, 'E': 121, 'H': 173}"
A0A2H5AIY4,569,"{'L': 267, 'E': 131, 'H': 171}"
Q8RU95,598,"{'L': 279, 'E': 134, 'H': 185}"
Q10S72,552,"{'L': 253, 'E': 143, 'H': 156}"
O26663,293,"{'L': 132, 'E': 61, 'H': 100}"
P53598,329,"{'L': 141, 'H': 125, 'E': 63}"
O28098,287,"{'L': 124, 'E': 61, 'H': 102}"
Q58643,294,"{'L': 128, 'E': 63, 'H': 103}"
O67547,305,"{'L': 120, 'E': 66, 'H': 119}"
A1CND4,792,"{'L': 428, 'H': 221, 'E': 143}"
Q2TYT2,797,"{'L': 396, 'H': 258, 'E': 143}"
P45704,618,"{'L': 303, 'E': 135, 'H': 180}"
Q9ZFM2,504,"{'L': 204, 'E': 138, 'H': 162}"
A1CCL9,771,"{'L': 390, 'H': 233, 'E': 148}"
P07955,434,"{'L': 161, 'E': 35, 'H': 238}"
P11559,555,"{'L': 211, 'H': 313, 'E': 31}"
Q58252,447,"{'L': 174, 'E': 35, 'H': 238}"
P11560,443,"{'L': 173, 'E': 33, 'H': 237}"
P12971,555,"{'L': 225, 'H': 300, 'E': 30}"
B3EEJ7,290,"{'L': 115, 'E': 45, 'H': 130}"
Q30YP7,294,"{'L': 123, 'E': 43, 'H': 128}"
A9BJ15,287,"{'L': 118, 'E': 43, 'H': 126}"
P30770,252,"{'L': 105, 'E': 41, 'H': 106}"
A1VEI5,282,"{'L': 111, 'E': 43, 'H': 128}"
Q0T1X7,410,"{'L': 175, 'E': 120, 'H': 115}"
Q7N4V5,394,"{'L': 173, 'E': 123, 'H': 98}"
P37337,408,"{'L': 178, 'E': 118, 'H': 112}"
X5CY81,410,"{'L': 175, 'E': 124, 'H': 111}"
Q51973,402,"{'L': 174, 'E': 120, 'H': 108}"
A4QDU2,160,"{'L': 58, 'E': 31, 'H': 71}"
C0ZXQ0,164,"{'L': 57, 'E': 31, 'H': 76}"
A5FSN4,159,"{'L': 59, 'E': 31, 'H': 69}"
A9WH99,161,"{'L': 61, 'E': 31, 'H': 69}"
B0CAI3,176,"{'L': 74, 'E': 31, 'H': 71}"
B0JMT8,401,"{'L': 150, 'E': 85, 'H': 166}"
B8HVB6,408,"{'L': 162, 'E': 82, 'H': 164}"
B2S0W8,408,"{'L': 154, 'E': 78, 'H': 176}"
O05278,410,"{'L': 147, 'E': 84, 'H': 179}"
Q1J2C9,395,"{'L': 142, 'E': 81, 'H': 172}"
Q15R61,444,"{'L': 127, 'H': 231, 'E': 86}"
B9L5W5,445,"{'L': 136, 'H': 225, 'E': 84}"
B5FAX9,449,"{'L': 134, 'H': 231, 'E': 84}"
A8F8T5,389,"{'L': 114, 'H': 190, 'E': 85}"
Q9FDL4,544,"{'L': 180, 'H': 279, 'E': 85}"
P23904,237,"{'L': 112, 'E': 109, 'H': 16}"
P45798,286,"{'L': 167, 'E': 113, 'H': 6}"
P37073,259,"{'L': 143, 'E': 109, 'H': 7}"
O14412,245,"{'L': 119, 'E': 113, 'H': 13}"
P17989,349,"{'L': 210, 'E': 120, 'H': 19}"
P14892,251,"{'L': 97, 'E': 49, 'H': 105}"
O05213,441,"{'L': 227, 'E': 69, 'H': 145}"
P82974,187,"{'L': 100, 'E': 39, 'H': 48}"
Q2YVT4,335,"{'L': 218, 'E': 48, 'H': 69}"
P44624,184,"{'L': 101, 'E': 39, 'H': 44}"
A0Q1A0,233,"{'L': 90, 'E': 62, 'H': 81}"
B6ER81,236,"{'L': 91, 'E': 64, 'H': 81}"
B9LS20,241,"{'L': 94, 'E': 68, 'H': 79}"
Q8K937,236,"{'L': 89, 'E': 63, 'H': 84}"
C4L2Y4,237,"{'L': 86, 'E': 62, 'H': 89}"
P27354,394,"{'L': 149, 'H': 243, 'E': 2}"
P18798,389,"{'L': 135, 'H': 252, 'E': 2}"
Q53563,340,"{'L': 151, 'E': 101, 'H': 88}"
P22868,348,"{'L': 153, 'E': 117, 'H': 78}"
P22869,527,"{'L': 182, 'H': 323, 'E': 22}"
P39104,1066,"{'L': 517, 'H': 502, 'E': 47}"
E9Q3L2,2105,"{'L': 739, 'H': 1297, 'E': 69}"
Q49GP3,835,"{'L': 462, 'H': 330, 'E': 43}"
Q8SQY7,1412,"{'L': 470, 'E': 56, 'H': 886}"
Q9UW20,977,"{'L': 491, 'H': 440, 'E': 46}"
O32864,225,"{'L': 56, 'H': 158, 'E': 11}"
P80653,250,"{'L': 67, 'H': 172, 'E': 11}"
Q58261,241,"{'L': 112, 'E': 25, 'H': 104}"
Q6LWZ3,235,"{'L': 64, 'H': 161, 'E': 10}"
P80651,304,"{'L': 79, 'H': 219, 'E': 6}"
Q9KJX5,546,"{'L': 264, 'E': 90, 'H': 192}"
K4LAH1,392,"{'L': 201, 'E': 66, 'H': 125}"
A1YYW7,559,"{'L': 280, 'E': 89, 'H': 190}"
P35482,368,"{'L': 179, 'E': 63, 'H': 126}"
Q05205,539,"{'L': 298, 'E': 176, 'H': 65}"
Q97K22,201,"{'L': 51, 'E': 28, 'H': 122}"
Q7VM70,205,"{'L': 57, 'E': 28, 'H': 120}"
Q4JW20,194,"{'L': 59, 'E': 28, 'H': 107}"
Q8D308,208,"{'L': 65, 'E': 25, 'H': 118}"
Q65G95,201,"{'L': 57, 'E': 28, 'H': 116}"
